Test Results
============
runfile('D:/Data/Research/2023/bgdstdwtfix.py', wdir='D:/Data/Research/2023')

DST cutting factor: 1, 0.5, 0.25
Wavelet filters: db1 ... db6, bior1.1, bior1.3, bior1.5
                 bior2.2, bior2.4, bior2.6,
		 bior3.1, bior3.3, bior3.5,
Remarks:
(a) WaveFilter: Wavelet Filter
    FrameLength: Frame Blocking Length
(b) Accuracy: Accuracy results. From left to right, they correspond to
    the number of feature extraction coefficients (1..8)

-----------------------------------------------------------------------------------
FrameLength =   128 , Accuracy =  [14.29 32.14 27.14 42.14 49.29 51.43 61.43 69.29]
FrameLength =   256 , Accuracy =  [14.29 39.29 60.00 70.71 75.00 77.14 79.29 86.43]
FrameLength =   512 , Accuracy =  [14.29 47.14 62.14 72.86 84.29 87.14 92.14 90.71]
FrameLength =  1024 , Accuracy =  [14.29 35.71 40.71 55.71 69.29 68.57 70.00 74.29]
FrameLength =  2048 , Accuracy =  [14.29 35.71 40.71 52.86 62.86 61.43 70.00 75.00]

DSTCuttingFactor = 0.5 , WaveFilter =  bior3.3
FrameLength =   128 , Accuracy =  [14.29 46.43 40.71 52.86 62.86 61.43 73.57 78.57]
FrameLength =   256 , Accuracy =  [14.29 42.14 67.14 73.57 76.43 82.14 88.57 87.14]
FrameLength =   512 , Accuracy =  [14.29 55.00 83.57 92.86 92.86 91.43 93.57 97.14] <-- Best Results
FrameLength =  1024 , Accuracy =  [14.29 32.14 45.00 58.57 71.43 79.29 81.43 84.29]
FrameLength =  2048 , Accuracy =  [14.29 36.43 52.86 52.86 57.14 62.86 71.43 75.71]

DSTCuttingFactor = 0.5 , WaveFilter =  bior3.5
FrameLength =   128 , Accuracy =  [14.29 42.14 50.00 56.43 64.29 65.71 75.71 83.57]
FrameLength =   256 , Accuracy =  [14.29 50.71 74.29 80.00 79.29 84.29 87.14 88.57]
FrameLength =   512 , Accuracy =  [14.29 51.43 78.57 84.29 82.14 85.71 88.57 93.57]
FrameLength =  1024 , Accuracy =  [14.29 32.14 60.71 72.14 75.71 80.71 85.71 87.14]
FrameLength =  2048 , Accuracy =  [14.29 40.71 56.43 57.14 72.86 77.86 80.00 85.00]

-----------------------------------------------------------------------------------
DSTCuttingFactor = 0.25 , WaveFilter =  db1
FrameLength =   128 , Accuracy =  [14.29 32.86 45.00 53.57 66.43 70.71 69.29 81.43]
FrameLength =   256 , Accuracy =  [14.29 51.43 61.43 74.29 77.14 82.14 88.57 88.57]
FrameLength =   512 , Accuracy =  [14.29 46.43 77.86 85.71 84.29 91.43 90.00 95.71]
FrameLength =  1024 , Accuracy =  [14.29 65.00 79.29 80.71 88.57 85.00 89.29 95.71]
FrameLength =  2048 , Accuracy =  [14.29 39.29 67.14 87.14 90.71 85.71 90.00 91.43]

DSTCuttingFactor = 0.25 , WaveFilter =  db2
FrameLength =   128 , Accuracy =  [14.29 35.71 46.43 57.86 64.29 65.71 67.86 72.86]
FrameLength =   256 , Accuracy =  [14.29 55.00 58.57 64.29 74.29 82.14 80.71 83.57]
FrameLength =   512 , Accuracy =  [14.29 46.43 73.57 77.14 80.00 85.00 90.71 92.86]
FrameLength =  1024 , Accuracy =  [14.29 50.00 55.71 72.86 78.57 97.86 97.14 98.57]
FrameLength =  2048 , Accuracy =  [14.29 56.43 73.57 77.86 73.57 77.86 80.00 86.43]

DSTCuttingFactor = 0.25 , WaveFilter =  db3
FrameLength =   128 , Accuracy =  [14.29 34.29 32.86 46.43 51.43 51.43 63.57 80.71]
FrameLength =   256 , Accuracy =  [14.29 33.57 42.14 54.29 62.86 67.86 88.57 88.57]
FrameLength =   512 , Accuracy =  [14.29 52.86 62.14 74.29 67.14 80.00 88.57 90.00]
FrameLength =  1024 , Accuracy =  [14.29 55.71 43.57 72.14 80.00 78.57 90.00 90.00]
FrameLength =  2048 , Accuracy =  [14.29 40.71 54.29 76.43 72.14 78.57 82.14 82.86]

DSTCuttingFactor = 0.25 , WaveFilter =  db4
FrameLength =   128 , Accuracy =  [25.71 35.00 35.00 31.43 29.29 44.29 61.43 62.14]
FrameLength =   256 , Accuracy =  [28.57 53.57 55.00 47.14 48.57 57.86 61.43 63.57]
FrameLength =   512 , Accuracy =  [14.29 48.57 54.29 60.71 46.43 79.29 78.57 78.57]
FrameLength =  1024 , Accuracy =  [14.29 50.00 72.86 61.43 65.71 75.71 84.29 84.29]
FrameLength =  2048 , Accuracy =  [14.29 41.43 50.00 57.14 36.43 58.57 67.86 69.29]

DSTCuttingFactor = 0.25 , WaveFilter =  db5
FrameLength =   128 , Accuracy =  [14.29 27.14 25.00 25.00 33.57 29.29 45.00 44.29]
FrameLength =   256 , Accuracy =  [20.00 28.57 37.14 37.14 26.43 52.86 72.86 72.86]
FrameLength =   512 , Accuracy =  [14.29 50.71 55.00 54.29 51.43 63.57 74.29 74.29]
FrameLength =  1024 , Accuracy =  [14.29 40.71 42.86 50.00 60.00 90.00 94.29 95.71]
FrameLength =  2048 , Accuracy =  [14.29 32.14 40.71 40.71 59.29 62.14 67.14 67.14]

DSTCuttingFactor = 0.25 , WaveFilter =  db6
FrameLength =   128 , Accuracy =  [14.29 40.71 40.00 45.71 17.14 32.86 47.14 47.86]
FrameLength =   256 , Accuracy =  [14.29 40.00 36.43 43.57 39.29 46.43 62.14 62.14]
FrameLength =   512 , Accuracy =  [14.29 42.86 60.00 67.86 42.14 70.71 80.00 80.00]
FrameLength =  1024 , Accuracy =  [14.29 41.43 64.29 68.57 54.29 70.00 71.43 71.43]
FrameLength =  2048 , Accuracy =  [14.29 35.00 64.29 65.00 29.29 53.57 57.14 57.86]

DSTCuttingFactor = 0.25 , WaveFilter =  bior1.1
FrameLength =   128 , Accuracy =  [14.29 32.86 45.00 53.57 66.43 70.71 69.29 81.43]
FrameLength =   256 , Accuracy =  [14.29 51.43 61.43 74.29 77.14 82.14 88.57 88.57]
FrameLength =   512 , Accuracy =  [14.29 46.43 77.86 85.71 84.29 91.43 90.00 95.71]
FrameLength =  1024 , Accuracy =  [14.29 65.00 79.29 80.71 88.57 85.00 89.29 95.71]
FrameLength =  2048 , Accuracy =  [14.29 39.29 67.14 87.14 90.71 85.71 90.00 91.43]

DSTCuttingFactor = 0.25 , WaveFilter =  bior1.3
FrameLength =   128 , Accuracy =  [14.29 38.57 47.14 53.57 62.86 67.14 71.43 79.29]
FrameLength =   256 , Accuracy =  [14.29 56.43 65.71 81.43 82.86 84.29 90.00 87.14]
FrameLength =   512 , Accuracy =  [14.29 53.57 75.71 72.86 70.00 81.43 85.71 94.29]
FrameLength =  1024 , Accuracy =  [14.29 42.86 80.71 78.57 82.86 81.43 87.14 95.71]
FrameLength =  2048 , Accuracy =  [14.29 42.14 61.43 60.00 81.43 83.57 90.00 90.00]

DSTCuttingFactor = 0.25 , WaveFilter =  bior1.5
FrameLength =   128 , Accuracy =  [14.29 40.71 49.29 54.29 62.86 67.86 70.71 80.00]
